iter	Passed	Remaining
0	152	152291
1	187	93393
2	217	72278
3	245	61247
4	266	53059
5	294	48707
6	367	52168
7	387	48089
8	416	45894
9	440	43626
10	462	41577
11	482	39748
12	503	38247
13	528	37217
14	558	36681
15	582	35847
16	619	35793
17	639	34875
18	660	34110
19	683	33467
20	703	32774
21	726	32278
22	762	32395
23	783	31851
24	803	325	8025	827	31005
26	869	31331
27	896	31129
28	935	31335
29	956	30916
30	971	30372
31	990	29951
32	1004	29438
33	1027	291834	1051	28998
35	1086	29081
36	1147	29874
37	1177	29800
38	1198	29542
39	1217	29231
40	1257	29406
41	1315	30012
42	1320	29378
43	1326	28813
44	1330	28234
45	1335	27699
46	134047	1347	247	1412	28023
48	1442	28004
49	1491	28338
50	1518	28261
51	1565	28534
52	1571	28082
53	1617	28334
54	1653	28416
55	1675	28250
56	1739	28783
57	1746	28358
58	1753	27962
59	1821	28529
60	1865	28715
61	1899	28743
62	1925	28642
63	1990	29104
64	1996	28714
65	2012	28474
66	2018	28102
67	2077	28469
68	2113	28519
69	2133	28347
70	2177	28492
71	2210	28495
72	2228	28295
73	2233	27944
74	2247	27722
75	2255	27422
76	2277	2267	277	2278	2313	278	2379	2343	279	2400	27610
80	2433	27604
81	2482	2440	282	2483	2466	283	2527	27563
84	2563	27591
85	2586	2557	286	2623	27534
87	2688	2634	26967
89	2651	289	2709	27393
90	2727	27247
91	2747	27112
92	2772	27036
93	2794	26932
94	2895	2764	26029
96	2827	26320
97	2843	26168
98	2887	26276
99	2917	26256
100	2967	26414
101	3001	26426
102	3071	26749
103	3109	26792
104	3149	26843
105	3210	27079
106	3234	26997
107	3267	26990
108	3292	26914
109	3315	26827
110	3345	26790
111	3373	26749
112	3421	26858
113	3427	26641
114	3454	26584
115	3504	26706
116	3518	26556
117	3544	26495
118	3570	26434
119	3577	26234
120	3624	26330
121	3661	26351
122	3686	26288
123	3730	26352
124	3757	26301
125	3785	26259
126	3811	26198
127	3819	26018
128	3848	25982
129	3863	25855
130	3892	25819
131	3946	25951
132	3953	25773
133	4011	25921
134	4049	25949
135	4076	25898
136	4103	25848
137	4123	25753
138	4149	25705
139	4173	25634
140	4179	25460
141	4208	25425
142	4226	25329
143	4244	25232
144	4250	25062
145	4263	24940
146	4278	24826
147	4302	24769
148	4316	24651
149	4341	24604
150	4363	24532
151	4389	24486
152	4430	24527
153	4444	24416
154	4450	24259
155	4468	24176
156	4508	24209
157	4531	24150
158	4570	24173
159	4574	24017
160	4616	24055
161	4634	23973
162	4643	23841
163	4672	23817
164	4701	23794
165	4721	23721
166	4760	23747
167	4774	23644
168	4807	23638
169	4829	23579
170	4857	23550
171	4862	23409
172	4870	23282
173	4904	23280
174	4922	23206
175	4961	23227
176	5004	23268
177	5010	177	50178	5069	23251
179	5093	23204
180	5113	23136
181	5144	181	52182	5164	182	5279	23569
183	5305	23527
184	5329	23477
185	53186	5320	23131
187	5326	23005
188	5377	23074
189	5399	23018
190	5431	23005
191	5477	23051
192	5488	22948
193	5520	22936
194	5530	22830
195	5560	22808
196	5586	22772
197	5607	22714
198	5614	198	5724	23043
199	5751	23006
200	5757	22886
201	5791	22878
202	5798	22764
203	5845	22807
204	5873	22776
205	5884	22679
206	5903	22615
207	5922	22549
208	5969	22593
209	5978	22489
210	6004	22452
211	6031	22418
212	6047	22343
213	6114	22456
214	6172	22535
215	6225	22597
216	6242	22526
217	6281	22531
218	6290	22432
219	6298	22330
220	6338	22342
221	6398	22422
222	6423	22382
223	6463	22392
224	6483	22331
225	6502	22270
226	6524	22216
227	6534	22124
228	6546	22040
229	6570	21998
230	6614	22021
231	6649	22013
232	6655	21909
233	6681	21870
234	6727	21901
235	6736	21808
236	6761	21769
237	6793	21750
238	6816	21703
239	6824	21610
240	6837	21533
241	6863	21498
242	6873	21412
243	6908	21403
244	6934	21368
245	6967	21357
246	6988	21303
247	7031	21322
248	7053	21274
249	7098	21294
250	7131	21280
251	7175	21298
252	7217	21309
253	7235	21251
254	7267	21231
255	7343	21340
256	7377	21327
257	7391	21258
258	7407	21194
259	7429	21146
260	7449	21092
261	7472	21049
262	7485	20976
263	7505	20925
264	7522	20865
265	7540	20807
266	7556	20746
